,Date,SPX Index,USYC2Y10 Index,KOSPI2 Index,TWSE Index,USYC5Y30 Index,USGG2YR Index,USDTWD Curncy,USDKRW Curncy,USDCNH Curncy,USDCNY Curncy,BBDXY Curncy,USGG5YR Index,DXY Curncy,KWSWNI5 BGN Curncy,USGG10YR Index,USGGT10Y Index,KWSWNI10 BGN Curncy,KWSWNI15 BGN Curncy,TDSWNI2 BGN Curncy,TDSWNI5 BGN Curncy,KWSWNI1 BGN Curncy,TDSWNI10 BGN Curncy,TDSWNI15 BGN Curncy
0,2008-06-02,1385.67,145.449,236.78,8724.47,139.773,2.5036,30.21,1022.55,,6.9332,919.5,3.2709,72.929,5.315,3.9571,1.4624,5.4,5.465,,,5.46,,
1,2008-06-03,1377.65,149.186,233.14,8579.43,143.521,2.3984,30.281,1016.75,,6.9252,922.66,3.186,73.24,5.345,3.8939,1.4468,5.43,5.495,,,5.45,,
2,2008-06-04,1377.2,152.371,235.09,8627.8,143.607,2.4465,30.344,1017.25,,6.9393,924.99,3.2571,73.424,5.405,3.9764,1.5284,5.51,5.585,,,5.445,,
3,2008-06-05,1404.05,154.282,234.76,8738.46,141.339,2.4949,30.384,1023.57,,6.9467,922.02,3.3217,73.038,5.435,4.0383,1.5739,5.54,5.615,,,5.415,,
4,2008-06-06,1360.68,153.455,,8745.35,144.525,2.3724,30.323,1023.55,,6.9231,916.22,3.175,72.39,5.435,3.9092,1.4171,5.54,5.615,,,5.415,,
5,2008-06-09,1361.76,128.687,231.35,8587.96,123.916,2.7066,30.293,1031.4,,6.923,922.14,3.3897,72.854,5.565,3.9977,1.483,5.665,5.74,,,5.51,,
6,2008-06-10,1358.44,118.488,226.56,8370.0,113.662,2.9206,30.358,1024.95,,6.9254,929.5,3.5621,73.696,5.655,4.1027,1.5774,5.74,5.815,,,5.63,,
7,2008-06-11,1335.49,126.425,227.42,8345.59,122.218,2.8055,30.373,1029.75,,6.9181,925.7,3.4722,73.209,5.575,4.0735,1.5581,5.63,5.705,,,5.6,,
8,2008-06-12,1339.87,116.918,221.17,8062.31,106.233,3.0373,30.442,1033.85,,6.9074,932.07,3.6943,73.859,5.535,4.2108,1.6692,5.535,5.575,,,5.61,,
9,2008-06-13,1360.03,123.321,222.79,8105.59,105.851,3.0306,30.438,1041.4,,6.9022,934.62,3.726,74.146,5.54,4.2565,1.7316,5.55,5.59,,,5.64,,
