,Date,JPY3M Curncy,KWN3M Curncy,EUR3M Curncy
0,2008-06-02,-50.695,4.1,-71.11
1,2008-06-03,-51.25,3.8,-71.153
2,2008-06-04,-52.69,3.7,-71.493
3,2008-06-05,-52.61,3.6,-74.642
4,2008-06-06,-52.84,3.6,-75.623
5,2008-06-09,-53.24,3.5,-73.945
6,2008-06-10,-56.09,2.6,-72.0
7,2008-06-11,-56.025,2.9,-74.15
8,2008-06-12,-57.08,3.35,-68.85
9,2008-06-13,-59.43,3.2,-69.01
10,2008-06-16,-60.14,3.5,-68.35
11,2008-06-17,-57.19,3.45,-69.715
12,2008-06-18,-56.045,3.85,-73.565
13,2008-06-19,-54.19,3.9,-73.3
14,2008-06-20,-54.49,3.95,-73.033
15,2008-06-23,-55.035,4.0,-72.25
16,2008-06-24,-55.29,4.55,-72.212
17,2008-06-25,-55.96,4.2,-73.565
18,2008-06-26,-54.09,4.0,-71.633
19,2008-06-27,-52.29,5.7,-72.093
20,2008-06-30,-52.62,4.7,-73.15
21,2008-07-01,-54.49,5.437,-72.89
22,2008-07-02,-55.06,-2.65,-72.55
23,2008-07-03,-53.76,3.175,-73.825
24,2008-07-04,-53.89,3.05,-73.465
25,2008-07-07,-54.27,-4.45,-74.148
26,2008-07-08,-54.92,-5.45,-73.8
27,2008-07-09,-56.715,-5.675,-77.35
28,2008-07-10,-55.065,-2.15,-75.85
29,2008-07-11,-56.02,1.9,-76.078
30,2008-07-14,-56.69,4.8,-76.35
31,2008-07-15,-54.965,1.05,-77.73
32,2008-07-16,-56.25,3.0,-79.048
33,2008-07-17,-56.24,0.65,-76.817
34,2008-07-18,-56.59,4.4,-76.35
35,2008-07-21,-56.11,5.25,-76.45
36,2008-07-22,-56.99,0.45,-76.15
37,2008-07-23,-58.59,-0.35,-77.0
38,2008-07-24,-56.225,5.15,-75.403
39,2008-07-25,-56.86,2.0,-75.15
40,2008-07-28,-57.0,4.95,-74.6
41,2008-07-29,-58.51,1.5,-73.1
42,2008-07-30,-57.528,4.95,-76.455
43,2008-07-31,-57.325,3.55,-75.7
44,2008-08-01,-57.295,5.5,-75.203
45,2008-08-04,-58.097,3.825,-74.703
46,2008-08-05,-58.16,2.85,-73.915
47,2008-08-06,-59.995,4.15,-75.55
48,2008-08-07,-59.527,9.3,-74.55
49,2008-08-08,-59.375,6.05,-72.26
50,2008-08-11,-59.575,1.313,-71.845
51,2008-08-12,-59.738,3.075,-72.15
52,2008-08-13,-61.12,3.9,-73.368
53,2008-08-14,-60.19,5.75,-71.75
54,2008-08-15,-60.21,1.5,-71.428
55,2008-08-18,-60.552,0.4,-71.085
56,2008-08-19,-60.45,4.4,-71.15
57,2008-08-20,-61.56,0.7,-73.613
58,2008-08-21,-57.32,1.025,-72.515
59,2008-08-22,-58.985,3.7,-71.85
60,2008-08-25,-60.21,1.5,-71.655
61,2008-08-26,-58.208,1.35,-70.708
62,2008-08-27,-56.97,-0.1,-69.75
63,2008-08-28,-56.295,3.0,-69.63
64,2008-08-29,-55.44,1.55,-68.665
65,2008-09-01,-55.095,,-68.308
66,2008-09-02,-55.75,,-68.515
67,2008-09-03,-55.3,-7.05,-69.05
68,2008-09-04,-54.305,0.975,-68.455
69,2008-09-05,-54.445,8.05,-68.165
70,2008-09-08,-54.36,23.0,-69.5
71,2008-09-09,-53.925,-2.475,-69.215
72,2008-09-10,-53.17,-1.3,-69.85
73,2008-09-11,-53.18,-1.5,-70.15
74,2008-09-12,-53.49,-2.85,-71.765
75,2008-09-15,-54.245,9.8,-65.587
76,2008-09-16,-67.8,-16.95,-51.0
77,2008-09-17,-98.345,12.35,-7.205
78,2008-09-18,-119.79,-32.1,-3.125
79,2008-09-19,-84.173,-27.638,-25.16
80,2008-09-22,-89.1,-13.3,-26.882
81,2008-09-23,-95.19,-13.6,-17.0
82,2008-09-24,-99.525,-9.95,-3.895
83,2008-09-25,-94.675,-10.7,-9.15
84,2008-09-26,-96.33,1.95,4.313
85,2008-09-29,-109.8,-9.0,15.16
86,2008-09-30,-143.15,-18.35,47.453
87,2008-10-01,-121.02,-0.55,27.55
88,2008-10-02,-109.5,-2.95,12.333
89,2008-10-03,-102.31,-26.0,-5.325
90,2008-10-06,-97.25,15.1,3.7
91,2008-10-07,-113.26,-13.8,10.255
92,2008-10-08,-129.07,-13.5,41.115
93,2008-10-09,-119.35,-25.2,26.8
94,2008-10-10,-121.7,-13.6,30.5
95,2008-10-13,-101.41,-42.425,15.49
96,2008-10-14,-94.8,-29.75,8.35
97,2008-10-15,-93.4,60.25,-9.5
98,2008-10-16,-95.16,-45.5,-8.3
99,2008-10-17,-78.05,-57.9,-23.765
100,2008-10-20,-67.91,-16.0,-23.895
101,2008-10-21,-66.605,34.775,-26.7
102,2008-10-22,-75.45,26.6,-18.735
103,2008-10-23,-78.1,-23.15,-17.725
104,2008-10-24,-69.05,-25.6,-9.85
105,2008-10-27,-68.175,6.25,-0.4
106,2008-10-28,-60.965,-60.85,-8.7
107,2008-10-29,-54.055,-76.9,-20.095
108,2008-10-30,-51.0,35.5,-19.2
109,2008-10-31,-41.15,14.75,-27.85
110,2008-11-03,-31.87,-7.0,-29.1
111,2008-11-04,-31.3,-47.725,-41.6
112,2008-11-05,-28.975,2.9,-42.925
113,2008-11-06,-33.02,8.3,-40.322
114,2008-11-07,-31.355,-12.65,-42.45
115,2008-11-10,-29.25,-3.725,-47.7
116,2008-11-11,-23.92,10.725,-47.285
117,2008-11-12,-29.028,17.8,-40.39
118,2008-11-13,-37.72,-19.825,-26.965
119,2008-11-14,-45.0,1.55,-25.0
120,2008-11-17,-38.455,2.225,-27.75
121,2008-11-18,-36.42,-18.525,-30.595
122,2008-11-19,-37.15,21.8,-28.265
123,2008-11-20,-38.9,-3.45,-18.28
124,2008-11-21,-44.325,-34.75,-14.17
125,2008-11-24,-44.49,-62.5,-8.75
126,2008-11-25,-42.92,-9.15,-9.015
127,2008-11-26,-45.21,-26.65,-6.95
128,2008-11-27,-45.25,-23.7,-5.66
129,2008-11-28,-39.85,-16.75,-6.75
130,2008-12-01,-38.12,33.175,-8.545
131,2008-12-02,-36.6,-25.55,-12.05
132,2008-12-03,-28.75,-41.55,-12.55
133,2008-12-04,-28.56,-13.8,-13.7
134,2008-12-05,-25.1,-22.6,-21.6
135,2008-12-08,-24.295,-25.65,-25.5
136,2008-12-09,-25.165,-38.0,-32.4
137,2008-12-10,-23.81,-33.65,-31.57
138,2008-12-11,-21.8,-27.65,-31.538
139,2008-12-12,-20.6,-9.35,-31.55
140,2008-12-15,-18.2,2.5,-27.05
141,2008-12-16,-13.15,-26.675,-35.2
142,2008-12-17,-8.773,-24.4,-35.375
143,2008-12-18,-10.47,12.65,-34.03
144,2008-12-19,-16.95,10.65,-33.85
145,2008-12-22,-18.1,6.5,-34.55
146,2008-12-23,-17.295,10.25,-31.6
147,2008-12-24,-18.095,-12.8,-31.513
148,2008-12-25,-18.885,-16.2,-31.5
149,2008-12-26,-17.3,-12.0,-31.55
150,2008-12-29,-16.838,1.975,-35.65
151,2008-12-30,-17.5,-1.55,-38.263
152,2008-12-31,-15.955,-16.8,-39.05
153,2009-01-01,-16.165,,-39.225
154,2009-01-02,-16.095,1.4,-39.45
155,2009-01-05,-12.835,7.5,-37.4
156,2009-01-06,-13.09,-9.25,-37.2
157,2009-01-07,-12.223,22.95,-40.5
158,2009-01-08,-9.968,-14.075,-44.9
159,2009-01-09,-9.858,1.75,-43.6
160,2009-01-12,-8.55,13.3,-41.427
161,2009-01-13,-10.465,-5.5,-38.9
162,2009-01-14,-12.57,10.8,-35.55
163,2009-01-15,-16.747,-23.65,-33.25
164,2009-01-16,-15.65,4.3,-31.5
165,2009-01-19,-14.995,3.9,-30.375
166,2009-01-20,-14.69,-8.025,-27.85
167,2009-01-21,-17.635,-11.425,-19.65
168,2009-01-22,-17.195,1.95,-18.102
169,2009-01-23,-17.15,14.8,-14.4
170,2009-01-26,-16.61,14.1,-17.9
171,2009-01-27,-15.845,-3.4,-18.75
172,2009-01-28,-16.055,-16.15,-17.69
173,2009-01-29,-17.33,-2.625,-16.85
174,2009-01-30,-18.85,12.4,-13.6
175,2009-02-02,-28.96,13.7,-7.23
176,2009-02-03,-22.36,-11.125,-10.93
177,2009-02-04,-19.7,-1.5,-10.35
178,2009-02-05,-20.155,-4.05,-10.9
179,2009-02-06,-18.075,-13.55,-12.27
180,2009-02-09,-18.542,,-11.725
181,2009-02-10,-17.332,38.9,-11.36
182,2009-02-11,-17.055,-1.5,-10.93
183,2009-02-12,-16.88,3.5,-10.805
184,2009-02-13,-17.19,1.15,-9.15
185,2009-02-16,-17.85,0.575,-7.285
186,2009-02-17,-19.12,5.875,-4.4
187,2009-02-18,-21.195,5.725,-4.75
188,2009-02-19,-19.3,-0.175,-6.3
189,2009-02-20,-18.15,6.375,-6.55
190,2009-02-23,-17.705,15.5,-6.49
191,2009-02-24,-18.043,-17.15,-6.01
192,2009-02-25,-18.2,-10.675,-5.0
193,2009-02-26,-19.19,-5.55,-4.267
194,2009-02-27,-19.75,8.15,-3.563
195,2009-03-02,-19.595,13.85,-2.428
196,2009-03-03,-18.495,0.85,-2.075
197,2009-03-04,-18.65,-19.725,-1.545
198,2009-03-05,-18.85,13.8,-0.413
199,2009-03-06,-19.685,-7.95,0.298
200,2009-03-09,-22.0,-0.25,4.183
201,2009-03-10,-22.06,-17.775,4.4
202,2009-03-11,-20.18,6.25,0.725
203,2009-03-12,-19.06,-24.05,1.555
204,2009-03-13,-18.65,-0.05,1.632
205,2009-03-16,-18.52,-19.65,2.668
206,2009-03-17,-16.755,-2.75,1.8
207,2009-03-18,-14.253,-40.2,-1.625
208,2009-03-19,-12.27,-11.0,-1.74
209,2009-03-20,-12.27,-14.75,-1.405
210,2009-03-23,-13.408,-17.725,-1.45
211,2009-03-24,-16.55,-1.275,-0.45
212,2009-03-25,-15.575,-6.35,0.79
213,2009-03-26,-14.75,-10.75,0.82
214,2009-03-27,-14.86,-0.175,2.0
215,2009-03-30,-15.05,14.2,1.65
216,2009-03-31,-14.805,-13.6,2.255
217,2009-04-01,-14.96,-30.25,1.75
218,2009-04-02,-15.35,-21.75,-0.55
219,2009-04-03,-15.34,-14.4,-0.65
220,2009-04-06,-14.835,17.05,-0.75
221,2009-04-07,-14.985,7.85,-1.73
222,2009-04-08,-14.9,-9.25,-2.73
223,2009-04-09,-15.37,-11.0,-4.7
224,2009-04-10,-15.675,-2.3,-4.7
225,2009-04-13,-15.65,-12.0,-4.903
226,2009-04-14,-15.75,-0.75,-6.55
227,2009-04-15,-15.575,-13.225,-6.2
228,2009-04-16,-14.85,-5.6,-7.465
229,2009-04-17,-14.523,-2.55,-9.075
230,2009-04-20,-15.045,26.3,-8.895
231,2009-04-21,-15.455,-11.25,-7.925
232,2009-04-22,-15.1,-7.6,-8.675
233,2009-04-23,-13.8,-14.65,-8.7
234,2009-04-24,-13.14,-19.55,-7.56
235,2009-04-27,-13.3,9.2,-7.265
236,2009-04-28,-14.56,-6.35,-3.46
237,2009-04-29,-14.4,-26.25,-4.7
238,2009-04-30,-14.04,-0.45,-5.055
239,2009-05-01,-14.2,0.5,-5.005
240,2009-05-04,-13.99,-17.15,-5.08
241,2009-05-05,-13.58,-5.0,-4.17
242,2009-05-06,-12.62,-14.75,-4.49
243,2009-05-07,-12.15,-6.6,-4.7
244,2009-05-08,-11.45,-17.9,-6.82
245,2009-05-11,-10.5,,-7.75
246,2009-05-12,-10.51,-6.8,-8.38
247,2009-05-13,-9.6,5.5,-7.905
248,2009-05-14,-9.53,-8.1,-6.735
249,2009-05-15,-9.75,9.0,-7.235
250,2009-05-18,-9.95,-20.85,-7.875
251,2009-05-19,-8.56,-8.75,-11.275
252,2009-05-20,-7.55,-13.4,-14.18
253,2009-05-21,-8.45,-6.675,-12.315
254,2009-05-22,-9.85,-5.675,-11.825
255,2009-05-25,-9.86,2.475,-11.65
256,2009-05-26,-9.29,-1.075,-11.65
257,2009-05-27,-10.8,12.15,-10.85
258,2009-05-28,-9.7,0.225,-10.75
259,2009-05-29,-9.64,-5.75,-10.25
260,2009-06-01,-11.155,-10.25,-10.45
261,2009-06-02,-10.2,-9.85,-10.7
262,2009-06-03,-10.0,7.5,-12.3
263,2009-06-04,-9.55,-8.3,-13.42
264,2009-06-05,-10.4,3.85,-13.25
265,2009-06-08,-11.1,2.1,-12.75
266,2009-06-09,-9.33,-14.35,-13.87
267,2009-06-10,-9.24,7.3,-14.1
268,2009-06-11,-9.23,-7.75,-13.5
269,2009-06-12,-9.15,-5.525,-13.3
270,2009-06-15,-8.973,0.5,-12.33
271,2009-06-16,-9.19,2.45,-11.65
272,2009-06-17,-9.75,-3.25,-11.04
273,2009-06-18,-11.14,-3.25,-8.72
274,2009-06-19,-10.77,-5.9,-8.61
275,2009-06-22,-11.08,3.125,-8.093
276,2009-06-23,-10.58,-14.675,-7.073
277,2009-06-24,-10.7,-8.25,-4.92
278,2009-06-25,-10.055,-7.85,-3.173
279,2009-06-26,-10.44,-7.75,-3.32
280,2009-06-29,-10.415,-7.5,-4.55
281,2009-06-30,-10.47,-3.2,-3.01
282,2009-07-01,-10.29,-13.15,-2.75
283,2009-07-02,-9.68,1.85,-1.313
284,2009-07-03,-9.42,2.2,-1.425
285,2009-07-06,-9.63,1.0,-2.125
286,2009-07-07,-9.515,2.825,-1.475
287,2009-07-08,-9.4,2.75,-1.0
288,2009-07-09,-9.0,-4.25,-0.64
289,2009-07-10,-9.2,5.0,-0.75
290,2009-07-13,-9.66,-13.0,0.1
291,2009-07-14,-9.95,-1.95,0.65
292,2009-07-15,-9.97,-8.35,-0.025
293,2009-07-16,-9.75,-3.25,0.65
294,2009-07-17,-9.75,-4.1,0.415
295,2009-07-20,-9.448,-10.6,-0.15
296,2009-07-21,-9.0,-0.7,-0.45
297,2009-07-22,-8.663,-0.05,-0.275
298,2009-07-23,-8.66,0.225,-0.05
299,2009-07-24,-8.988,-2.55,-0.315
300,2009-07-27,-8.753,-3.05,-0.375
301,2009-07-28,-8.26,4.2,-0.35
302,2009-07-29,-8.122,6.05,-0.1
303,2009-07-30,-8.038,-2.7,0.25
304,2009-07-31,-8.35,-6.925,0.455
305,2009-08-03,-8.363,-6.1,0.55
306,2009-08-04,-8.348,1.6,0.6
307,2009-08-05,-8.438,1.4,0.75
308,2009-08-06,-8.25,6.45,1.025
309,2009-08-07,-8.3,-1.9,0.75
310,2009-08-10,-8.27,8.45,0.735
311,2009-08-11,-7.95,10.4,0.25
